Gender,Perfume Name,Notes,Link
M,Jimmy Choo Man,"Wood, Lavender, Mandarin, Melon, Pepper, Geranium, Pineapple, Patchouli, Suede, Amber",https://us.jimmychoo.com/en/beauty/fragrance/mens-fragrance/jimmy-choo-man-100ml/jimmy-choo-man-eau-de-toilette-100ml-JCMAN100MLFSGY100544.html?cgid=beauty-fragrance-mensfragrance#start=1
M,Burberry Hero,"Pine, Benzoin, Cedar, Wood",https://us.burberry.com/c/burberry-hero/
M,Chanel Platinum Egoiste,"Lavender, Rosemary, Sage, Geranium, Amber, Wood",https://www.chanel.com/us/fragrance/p/107460/bleu-de-chanel-eau-de-toilette-spray/?gclid=CjwKCAjwtp2bBhAGEiwAOZZTuIWtkhZXPntmYXXuNH1j5FwxidCKoAsKCRE8lxgGyLTbwA6M8U4vwRoC5nYQAvD_BwE&gclsrc=aw.ds
M,Dior Sauvage Parfum,"Mandarin, Bergamot, Tonka Bean, Sandalwood, Wood",https://www.dior.com/en_us/beauty/products/Y0998004-sauvage-parfum-parfum-citrus-and-woody-notes-refillable
M,Tom Ford Ombré Leather,"Patchouli, Vetiver, Jasmine, Amber, Moss, Violet",https://www.tomford.com/ombre-leather-eau-de-parfum/T5Y-OMBRE.html
M,Azzaro The Most Wanted Intense,"Amber, Wood, Cardamom",https://www.azzaro.com/en/fragrances/azzaro-the-most-wanted/eau-de-parfum-intense
M,Yves Saint Laurent La Nuit de l'Homme,"Lemon, Cedar, Cardamom",https://www.ulta.com/p/y-eau-de-toilette-pimprod2032906
M,Prada Luna Rossa Ocean,"Bergamot, Pepper, Iris, Sage, Vetiver, Tonka Bean",https://www.ulta.com/p/luna-rossa-ocean-eau-de-toilette-pimprod2026375
M,Gucci Guilty Pour Homme,"Lavender, Lemon, Orange, Cedar, Wood, Patchouli",https://www.ulta.com/p/guilty-pour-homme-eau-de-toilette-xlsImpprod3400101
M,Armani Acqua di Giò Profondo,"Mandarin, Bergamot, Rosemary, Lavender, Cypress, Patchouli, Musk",https://www.giorgioarmanibeauty-usa.com/fragrances/mens-cologne/acqua-di-gio/acqua-di-gio-profondo-eau-de-parfum/A2267.html
M,Coach For Men,"Pear, Cardamom, Vetiver",https://www.ulta.com/p/coach-men-eau-de-toilette-xlsImpprod16841001
