noteType,notes
Citrus,"[Lemon,Mandarin,Bergamot,Orange,Chypre,Grapefruit,Citrus,Tangerine,Persimmon]"
Aromatics,"[Anis,Lavender,Lemongrass,Vetiver,Sugar]"
Floral,"[Rose,Peony,Lily,Iris,Jasmine,Patchouli,Datura Flower,Tuberose,Violet,Magnolia,White Flowers,Lily,Bluebell,Gardenia,Frangipani Flower,Orchid,Osmanthus,Freesia,Geranium,Rosewood]"
Green,"[Neroli,Sage,Rosemary,Mint,Pine,Moss,Cypress]"
Fruity,"[Berries,Strawberry,Blackberry,Peach,Apple,Pear,Melon]"
Spices,"[Pepper,Ginger,Salt,Spices,Cinnamon,Nutmeg,Cardamom,Pineapple,Incense]"
Wooded,"[Cashmeran,Sandalwood,Cedar,Bamboo,Wood]"
Balsamic,"[Amber,Resinoid,Ambroxan,Elemi,Juniper,Musk,Suede]"
Gourmand,"[Vanilla,Almond,Tonka Bean,Cocoa,Coffee,Spicy,Gourmand,Benzoin,Toffee]"
